Optimizer,Epoch,Time,Accuracy,Loss
SGD,1,37,0.3981,0.401074
SGD,2,37,0.5487,0.3448
SGD,3,38,0.6346,0.298158
SGD,4,31,0.6956,0.258924
SGD,5,33,0.7361,0.226513
Momentum,1,58,0.7915,0.183046
Momentum,2,55,0.8372,0.13488
Momentum,3,55,0.8584,0.115376
Momentum,4,56,0.871,0.104882
Momentum,5,55,0.8784,0.0982866
AdaGrad,1,50,0.7456,0.231177
AdaGrad,2,50,0.7908,0.19202
AdaGrad,3,51,0.815,0.170363
AdaGrad,4,48,0.8298,0.15594
AdaGrad,5,48,0.8402,0.145745
RMSprop,1,58,0.6655,0.276548
RMSprop,2,59,0.7588,0.206334
RMSprop,3,59,0.8065,0.169468
RMSprop,4,60,0.8353,0.146409
RMSprop,5,59,0.8501,0.131409
Adam,1,90,0.877,0.097928
Adam,2,93,0.8955,0.0830694
Adam,3,96,0.9066,0.0737744
Adam,4,97,0.907,0.0731254
Adam,5,95,0.9114,0.0706838
